iter	Passed	Remaining
683	20401	9425
684	20430	9395
685	20459	9364
686	20485	9333
687	20515	9303
688	20544	9273
689	20570	9241
690	20596	9210
691	20624	9179
692	20652	9149
693	20682	9119
694	20712	9089
695	20744	9060
696	20776	9031
697	20804	9001
698	20835	8972
699	20865	8942
700	20895	8912
701	20929	8884
702	20958	8854
703	20989	8825
704	21020	8795
705	21051	8766
706	21083	8737
707	21110	8706
708	21140	8676
709	21169	8646
710	21200	8617
711	21231	8588
712	21262	8558
713	21292	8528
714	21323	8499
715	21351	8469
716	21382	8439
717	21414	8410
718	21443	8380
719	21476	8351
720	21503	8320
721	21533	8291
722	21561	8260
723	21589	8230
724	21619	8200
725	21650	8171
726	21675	8139
727	21707	8110
728	21737	8080
729	21766	8050
730	21799	8021
731	21830	7992
732	21860	7962
733	21890	7933
734	21927	7905
735	21960	7877
736	21993	7848
737	22022	7818
738	22055	7789
739	22087	7760
740	22117	7730
741	22149	7701
742	22186	7674
743	22215	7644
744	22246	7614
745	22281	7586
746	22310	7556
747	22343	7527
748	22372	7497
749	22399	7466
750	22428	7436
751	22457	7406
752	22486	7376
753	22515	7345
754	22542	7315
755	22573	7285
756	22604	7256
757	22635	7226
758	22665	7196
759	22693	7166
760	22725	7137
761	22755	7107
762	22785	7077
763	22815	7047
764	22843	7017
765	22874	6987
766	22908	6959
767	22937	6929
768	22969	6899
769	22997	6869
770	23025	6838
771	23052	6808
772	23079	6777
773	23111	6748
774	23143	6719
775	23176	6690
776	23207	6660
777	23236	6630
778	23263	6599
779	23296	6570
780	23328	6541
781	23358	6511
782	23389	6482
783	23421	6452
784	23456	6424
785	23486	6394
786	23521	6365
787	23553	6336
788	23589	6308
789	23622	6279
790	23654	6249
791	23689	6221
792	23723	6192
793	23753	6162
794	23786	6133
795	23821	6105
796	23855	6076
797	23886	6046
798	23920	6017
799	23955	5988
800	23990	5960
801	24020	5930
802	24054	5901
803	24093	5873
804	24125	5844
805	24157	5814
806	24192	5785
807	24223	5756
808	24254	5726
809	24286	5696
810	24318	5667
811	24349	5637
812	24382	5608
813	24416	5579
814	24447	5549
815	24476	5519
816	24511	5490
817	24542	5460
818	24570	5430
819	24599	5399
820	24628	5369
821	24658	5339
822	24692	5310
823	24723	5280
824	24754	5250
825	24783	5220
826	24814	5190
827	24840	5160
828	24869	5129
829	24904	5100
830	24935	5071
831	24964	5040
832	24996	5011
833	25025	4981
834	25053	4950
835	25084	4920
836	25115	4891
837	25144	4860
838	25173	4830
839	25208	4801
840	25233	4770
841	25266	4741
842	25300	4712
843	25330	4681
844	25360	4651
845	25390	4621
846	25421	4592
847	25451	4562
848	25483	4532
849	25512	4502
850	25547	4472
851	25578	4443
852	25609	4413
853	25638	4383
854	25669	4353
855	25701	4323
856	25730	4293
857	25760	4263
858	25790	4233
859	25817	4202
860	25847	4172
861	25881	4143
862	25913	4113
863	25944	4083
864	25975	4053
865	26007	4024
866	26037	3994
867	26067	3964
868	26100	3934
869	26133	3905
870	26166	3875
871	26198	3845
872	26227	3815
873	26262	3786
874	26294	3756
875	26325	3726
876	26356	3696
877	26387	3666
878	26420	3636
879	26448	3606
880	26476	3576
881	26508	3546
882	26537	3516
883	26570	3486
884	26600	3456
885	26630	3426
886	26657	3396
887	26687	3365
888	26715	3335
889	26749	3306
890	26778	3275
891	26811	3246
892	26843	3216
893	26874	3186
894	26907	3156
895	26934	3126
896	26962	3096
897	26993	3066
898	27025	3036
899	27058	3006
900	27090	2976
901	27120	2946
902	27148	2916
903	27176	2886
904	27207	2855
905	27234	2825
906	27267	2795
907	27297	2765
908	27325	2735
909	27355	2705
910	27388	2675
911	27421	2645
912	27451	2615
913	27477	2585
914	27506	2555
915	27535	2525
916	27567	2495
917	27599	2465
918	27630	2435
919	27660	2405
920	27690	2375
921	27720	2345
922	27751	2315
923	27781	2285
924	27812	2255
925	27842	2224
926	27871	2194
927	27902	2164
928	27934	2134
929	27964	2104
930	27995	2074
931	28030	2045
932	28063	2015
933	28091	1985
934	28123	1955
935	28155	1925
936	28187	1895
937	28217	1865
938	28248	1835
939	28281	1805
940	28305	1774
941	28335	1744
942	28363	1714
943	28395	1684
944	28424	1654
945	28450	1624
946	28478	1593
947	28508	1563
948	28542	1533
949	28571	1503
950	28603	1473
951	28635	1443
952	28670	1413
953	28701	1383
954	28732	1353
955	28762	1323
956	28793	1293
957	28827	1263
958	28859	1233
959	28890	1203
960	28925	1173
961	28952	1143
962	28984	1113
963	29014	1083
964	29041	1053
965	29071	1023
966	29097	992
967	29127	962
968	29158	932
969	29189	902
970	29219	872
971	29253	842
972	29284	812
973	29315	782
974	29343	752
975	29371	722
976	29404	692
977	29438	662
978	29467	632
979	29498	602
980	29534	572
981	29563	541
982	29589	511
983	29617	481
984	29647	451
985	29677	421
986	29707	391
987	29739	361
988	29771	331
989	29801	301
990	29827	270
991	29860	240
992	29893	210
993	29924	180
994	29954	150
995	29984	120
996	30018	90
997	30049	60
998	30080	30
999	30111	0
