iter	TotalF1	MultiClass
116	0.8470841178	0.3885130104
117	0.8471819967	0.3878171365
118	0.8475764859	0.3872460345
119	0.8477024735	0.387049058
120	0.8476886828	0.3860740314
121	0.8480113186	0.3853761737
122	0.8488160928	0.3844069608
123	0.8489820954	0.3832597701
124	0.8490209102	0.3825581341
125	0.8494193102	0.382162429
126	0.8492110607	0.3814387013
127	0.8497381905	0.3803342453
128	0.850059124	0.3795220864
129	0.8503076653	0.3789154889
130	0.8507048454	0.378378429
131	0.8508693794	0.3778942284
132	0.8516984027	0.3767464925
133	0.8525445251	0.3760484866
134	0.8524084488	0.3756553872
135	0.8526678769	0.3753424509
136	0.8527514646	0.3748608684
137	0.8529866416	0.3744470587
138	0.8530039948	0.3740749005
139	0.8535666376	0.3732660324
140	0.855293407	0.3720813534
141	0.8552324534	0.3714641012
142	0.8555039192	0.3708221986
143	0.8556539262	0.3702456563
144	0.8565018658	0.3696997774
145	0.8560905553	0.3688135035
146	0.8557838844	0.3686120186
147	0.8561600461	0.3681184942
148	0.8558358602	0.3675774692
149	0.8559654254	0.3671625202
150	0.8569400043	0.3668091259
151	0.8568923483	0.3665922041
152	0.8567628395	0.3662397547
153	0.8568731448	0.3656962287
154	0.8566917909	0.3653616958
155	0.8569846188	0.364788528
156	0.8572873451	0.3645475157
157	0.8572396821	0.3643130396
158	0.8575765572	0.3636917052
159	0.8577673417	0.3631098941
160	0.8587118809	0.3627532879
161	0.8587160516	0.3625713018
162	0.8589925526	0.362232611
163	0.8586611222	0.3618310654
164	0.8585616805	0.3612986057
165	0.8588191057	0.3608893094
166	0.8585834688	0.3600884258
167	0.8592539667	0.359074406
168	0.8589965139	0.3587593422
169	0.8591902228	0.3584456876
170	0.8593127965	0.3582246637
171	0.860003562	0.3578227359
172	0.8597489171	0.3575091539
173	0.86045203	0.3572296178
174	0.8607585983	0.3568112553
175	0.8601822623	0.35639372
176	0.8602256659	0.3560576359
177	0.8612425565	0.3557361152
178	0.8614067761	0.3550536071
179	0.8617300002	0.354909848
180	0.8620531769	0.3545858482
181	0.8615049561	0.354144481
182	0.8620488596	0.3538745437
183	0.8617595794	0.3536489136
184	0.8624936201	0.3532580804
185	0.8626536734	0.3531117633
186	0.8628377298	0.3522500478
187	0.8629506589	0.3518684359
188	0.8631572533	0.3514758363
189	0.8627523883	0.3510774842
190	0.8625444149	0.3506648715
191	0.8632637397	0.3504159636
192	0.8628111688	0.3501498439
193	0.8637261461	0.3500182717
194	0.8625974973	0.3493488567
195	0.8624973194	0.3490470137
196	0.8633522988	0.3486335643
197	0.8633335858	0.3483401931
198	0.8637048467	0.3480162696
199	0.8634211963	0.3475021969
200	0.8637597014	0.3471833025
201	0.8639677868	0.3467380642
202	0.8640678229	0.3462229675
203	0.8641156218	0.3454699157
204	0.8637992543	0.3450835482
205	0.8642999503	0.3447293488
206	0.8646235009	0.3444502097
207	0.8646635359	0.3439263154
208	0.865056769	0.3435621292
209	0.8647191244	0.3433624601
210	0.8654430421	0.3427770706
211	0.8656294275	0.3422351069
212	0.8657277805	0.341917338
213	0.8657656384	0.3415913624
214	0.8662141706	0.3412273571
215	0.8662545	0.3406173188
216	0.8669499196	0.3401485394
217	0.8669975149	0.3393365595
218	0.8669685808	0.3390153084
219	0.8672507471	0.3386763234
220	0.8673973096	0.3384629953
221	0.8673637099	0.3380565196
222	0.8676682547	0.3376845021
223	0.8677161285	0.3373911042
224	0.8678481705	0.3371398668
225	0.8676736688	0.3368455943
226	0.8676278386	0.3366386609
227	0.8679590744	0.3360913519
228	0.8684525467	0.3356520964
229	0.868267727	0.3351350793
230	0.868149943	0.3348341837
231	0.868729354	0.3345328619
232	0.8687772261	0.3342651635
233	0.8696310219	0.3338148113
234	0.8699895472	0.3333715267
235	0.8695889841	0.3330388497
236	0.8695151848	0.3328372362
237	0.8701456446	0.3326463751
238	0.8699029254	0.3323407303
239	0.870499948	0.3320420884
240	0.8715987426	0.3312742117
241	0.8717786814	0.3307835684
242	0.8715653611	0.3303452315
243	0.8710640707	0.3299954203
244	0.8715300293	0.3294086708
245	0.8719376187	0.3291055652
246	0.8718706531	0.3287772203
247	0.8727342897	0.3285257905
248	0.8733375641	0.3282184492
249	0.8731377835	0.3279994267
250	0.8728765124	0.3276301769
251	0.8735404744	0.3274899767
252	0.8728761125	0.3269657149
253	0.8730560344	0.3265001203
254	0.8732690927	0.3261215311
255	0.8739651695	0.3256064423
256	0.8738838312	0.3252913719
257	0.8740278955	0.324994427
258	0.8740610705	0.3246380579
259	0.8737799402	0.3244309396
260	0.8744969173	0.3241046295
261	0.874936534	0.3238235181
262	0.8752126043	0.3235313755
263	0.8746556811	0.3230281097
264	0.87474461	0.3226505689
265	0.8750411394	0.3224889413
266	0.8753700452	0.3222254279
267	0.8753654394	0.321907922
268	0.8750384956	0.3217024414
